,id,Total Users,Engagement Level,DAU/MAU,Active,Notification Level,Time Per User Level,Active User Level,Login Ratio Level,Login Level,state,join_date,staffed_beds,number_discharges,est_ED_visits,average_LOS,LWBS_rate,region,geographic_classification,hospital_type,firm_type
1606,007a8af5-5114-44eb-a3ba-3589e4164c3c,53,Orange,0.017,Inactive,high,very low,very low,very low,very low,CA,6/11/2016,130.0,8424.0,47130.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1607,007a8af5-5114-44eb-a3ba-3589e4164c3c,53,Orange,0.0,Inactive,high,very low,very low,very low,very low,CA,6/11/2016,130.0,8424.0,47130.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1608,007a8af5-5114-44eb-a3ba-3589e4164c3c,61,Orange,0.188,Active,high,low,very low,medium,low,CA,6/11/2016,130.0,8424.0,47130.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1609,007a8af5-5114-44eb-a3ba-3589e4164c3c,62,Orange,0.037,Active,high,low,very low,low,medium,CA,6/11/2016,130.0,8424.0,47130.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1610,007a8af5-5114-44eb-a3ba-3589e4164c3c,62,Yellow,0.043,Active,medium,low,very low,low,medium,CA,6/11/2016,130.0,8424.0,47130.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1611,007a8af5-5114-44eb-a3ba-3589e4164c3c,62,Red,0.017,Active,medium,low,very low,very low,medium,CA,6/11/2016,130.0,8424.0,47130.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1612,007a8af5-5114-44eb-a3ba-3589e4164c3c,62,Orange,0.048,Active,medium,low,very low,very low,high,CA,6/11/2016,130.0,8424.0,47130.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1613,007a8af5-5114-44eb-a3ba-3589e4164c3c,62,Orange,0.05,Active,medium,low,very low,low,very low,CA,6/11/2016,130.0,8424.0,47130.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1614,007a8af5-5114-44eb-a3ba-3589e4164c3c,62,Yellow,0.019,Active,medium,low,very low,very low,high,CA,6/11/2016,130.0,8424.0,47130.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1615,007a8af5-5114-44eb-a3ba-3589e4164c3c,62,Orange,0.032,Active,medium,low,very low,very low,medium,CA,6/11/2016,130.0,8424.0,47130.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1616,007a8af5-5114-44eb-a3ba-3589e4164c3c,62,Yellow,0.028,Active,medium,medium,very low,low,high,CA,6/11/2016,130.0,8424.0,47130.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1617,00ec9630-2d8c-4c09-85d3-fb283c2c15f2,3,Yellow,0.033,Active,low,medium,low,very low,high,VA,5/20/2017,63.0,2346.0,23412.0,3.0,0.0,Southeast,Rural,Short Term Acute Care Hospital,Hospital
1618,00ec9630-2d8c-4c09-85d3-fb283c2c15f2,3,Orange,0.0,Inactive,medium,very low,very low,very low,very low,VA,5/20/2017,63.0,2346.0,23412.0,3.0,0.0,Southeast,Rural,Short Term Acute Care Hospital,Hospital
1619,00ec9630-2d8c-4c09-85d3-fb283c2c15f2,3,Orange,0.0,Inactive,medium,very low,very low,very low,very low,VA,5/20/2017,63.0,2346.0,23412.0,3.0,0.0,Southeast,Rural,Short Term Acute Care Hospital,Hospital
1620,00ec9630-2d8c-4c09-85d3-fb283c2c15f2,3,Red,0.0,Inactive,medium,very low,very low,very low,very low,VA,5/20/2017,63.0,2346.0,23412.0,3.0,0.0,Southeast,Rural,Short Term Acute Care Hospital,Hospital
1621,00ec9630-2d8c-4c09-85d3-fb283c2c15f2,3,Red,0.0,Inactive,medium,very low,very low,very low,very low,VA,5/20/2017,63.0,2346.0,23412.0,3.0,0.0,Southeast,Rural,Short Term Acute Care Hospital,Hospital
1622,00ec9630-2d8c-4c09-85d3-fb283c2c15f2,3,Red,0.0,Inactive,low,very low,very low,very low,very low,VA,5/20/2017,63.0,2346.0,23412.0,3.0,0.0,Southeast,Rural,Short Term Acute Care Hospital,Hospital
1623,00ec9630-2d8c-4c09-85d3-fb283c2c15f2,3,Red,0.0,Inactive,medium,very low,very low,very low,very low,VA,5/20/2017,63.0,2346.0,23412.0,3.0,0.0,Southeast,Rural,Short Term Acute Care Hospital,Hospital
1624,00ec9630-2d8c-4c09-85d3-fb283c2c15f2,3,Red,0.0,Inactive,medium,very low,very low,very low,very low,VA,5/20/2017,63.0,2346.0,23412.0,3.0,0.0,Southeast,Rural,Short Term Acute Care Hospital,Hospital
1625,00ec9630-2d8c-4c09-85d3-fb283c2c15f2,3,Red,0.0,Inactive,medium,very low,very low,very low,very low,VA,5/20/2017,63.0,2346.0,23412.0,3.0,0.0,Southeast,Rural,Short Term Acute Care Hospital,Hospital
1626,00ec9630-2d8c-4c09-85d3-fb283c2c15f2,3,Red,0.0,Inactive,medium,very low,very low,very low,very low,VA,5/20/2017,63.0,2346.0,23412.0,3.0,0.0,Southeast,Rural,Short Term Acute Care Hospital,Hospital
1627,00ec9630-2d8c-4c09-85d3-fb283c2c15f2,3,Red,0.0,Inactive,medium,very low,very low,very low,very low,VA,5/20/2017,63.0,2346.0,23412.0,3.0,0.0,Southeast,Rural,Short Term Acute Care Hospital,Hospital
1628,014bb621-fc34-4607-b60d-81697bcf9d4b,34,Red,0.0,Inactive,very low,very low,very low,very low,very low,CA,6/18/2017,0.0,0.0,0.0,0.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1629,014bb621-fc34-4607-b60d-81697bcf9d4b,34,Red,0.0,Inactive,very low,very low,very low,very low,very low,CA,6/18/2017,0.0,0.0,0.0,0.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1630,014bb621-fc34-4607-b60d-81697bcf9d4b,34,Red,0.0,Inactive,very low,very low,very low,very low,very low,CA,6/18/2017,0.0,0.0,0.0,0.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1631,014bb621-fc34-4607-b60d-81697bcf9d4b,34,Red,0.0,Inactive,very low,very low,very low,very low,very low,CA,6/18/2017,0.0,0.0,0.0,0.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1632,014bb621-fc34-4607-b60d-81697bcf9d4b,34,Red,0.032,Inactive,very low,very low,very low,very low,very low,CA,6/18/2017,0.0,0.0,0.0,0.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1633,014bb621-fc34-4607-b60d-81697bcf9d4b,34,Red,0.017,Inactive,very low,very low,very low,very low,very low,CA,6/18/2017,0.0,0.0,0.0,0.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1634,014bb621-fc34-4607-b60d-81697bcf9d4b,34,Red,0.0,Inactive,very low,very low,very low,very low,very low,CA,6/18/2017,0.0,0.0,0.0,0.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1635,014bb621-fc34-4607-b60d-81697bcf9d4b,34,Red,0.0,Inactive,very low,very low,very low,very low,very low,CA,6/18/2017,0.0,0.0,0.0,0.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1636,014bb621-fc34-4607-b60d-81697bcf9d4b,34,Red,0.032,Active,very low,very low,very low,very low,medium,CA,6/18/2017,0.0,0.0,0.0,0.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1637,014bb621-fc34-4607-b60d-81697bcf9d4b,34,Red,0.0,Inactive,very low,very low,very low,very low,very low,CA,6/18/2017,0.0,0.0,0.0,0.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1638,014bb621-fc34-4607-b60d-81697bcf9d4b,34,Red,0.0,Inactive,very low,very low,very low,very low,very low,CA,6/18/2017,0.0,0.0,0.0,0.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1646,01dcb25d-8b82-46a1-892c-6677593f00b5,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,UT,3/5/2017,82.0,3606.0,17596.0,3.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1647,01dcb25d-8b82-46a1-892c-6677593f00b5,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,UT,3/5/2017,82.0,3606.0,17596.0,3.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1648,01dcb25d-8b82-46a1-892c-6677593f00b5,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,UT,3/5/2017,82.0,3606.0,17596.0,3.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1649,01dcb25d-8b82-46a1-892c-6677593f00b5,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,UT,3/5/2017,82.0,3606.0,17596.0,3.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1650,01dcb25d-8b82-46a1-892c-6677593f00b5,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,UT,3/5/2017,82.0,3606.0,17596.0,3.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1651,01dcb25d-8b82-46a1-892c-6677593f00b5,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,UT,3/5/2017,82.0,3606.0,17596.0,3.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1652,01dcb25d-8b82-46a1-892c-6677593f00b5,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,UT,3/5/2017,82.0,3606.0,17596.0,3.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1653,01dcb25d-8b82-46a1-892c-6677593f00b5,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,UT,3/5/2017,82.0,3606.0,17596.0,3.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1654,01dcb25d-8b82-46a1-892c-6677593f00b5,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,UT,3/5/2017,82.0,3606.0,17596.0,3.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1655,01dcb25d-8b82-46a1-892c-6677593f00b5,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,UT,3/5/2017,82.0,3606.0,17596.0,3.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1656,01dcb25d-8b82-46a1-892c-6677593f00b5,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,UT,3/5/2017,82.0,3606.0,17596.0,3.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1657,023d3c1a-ee54-4aab-bceb-7b26c1cbfb5e,4,Red,0.0,Inactive,medium,very low,very low,very low,very low,VA,6/10/2018,110.0,6244.0,30377.0,3.0,0.0,Southeast,Urban,Short Term Acute Care Hospital,Hospital
1658,023d3c1a-ee54-4aab-bceb-7b26c1cbfb5e,4,Red,0.0,Inactive,medium,very low,very low,very low,very low,VA,6/10/2018,110.0,6244.0,30377.0,3.0,0.0,Southeast,Urban,Short Term Acute Care Hospital,Hospital
1659,023d3c1a-ee54-4aab-bceb-7b26c1cbfb5e,4,Red,0.0,Inactive,medium,very low,very low,very low,very low,VA,6/10/2018,110.0,6244.0,30377.0,3.0,0.0,Southeast,Urban,Short Term Acute Care Hospital,Hospital
1660,023d3c1a-ee54-4aab-bceb-7b26c1cbfb5e,4,Red,0.0,Inactive,medium,very low,very low,very low,very low,VA,6/10/2018,110.0,6244.0,30377.0,3.0,0.0,Southeast,Urban,Short Term Acute Care Hospital,Hospital
1661,023d3c1a-ee54-4aab-bceb-7b26c1cbfb5e,4,Red,0.0,Inactive,low,very low,very low,very low,very low,VA,6/10/2018,110.0,6244.0,30377.0,3.0,0.0,Southeast,Urban,Short Term Acute Care Hospital,Hospital
1662,023d3c1a-ee54-4aab-bceb-7b26c1cbfb5e,4,Red,0.0,Inactive,low,very low,very low,very low,very low,VA,6/10/2018,110.0,6244.0,30377.0,3.0,0.0,Southeast,Urban,Short Term Acute Care Hospital,Hospital
1663,023d3c1a-ee54-4aab-bceb-7b26c1cbfb5e,4,Red,0.0,Inactive,low,very low,very low,very low,very low,VA,6/10/2018,110.0,6244.0,30377.0,3.0,0.0,Southeast,Urban,Short Term Acute Care Hospital,Hospital
1664,023d3c1a-ee54-4aab-bceb-7b26c1cbfb5e,4,Red,0.0,Inactive,low,very low,very low,very low,very low,VA,6/10/2018,110.0,6244.0,30377.0,3.0,0.0,Southeast,Urban,Short Term Acute Care Hospital,Hospital
1665,023d3c1a-ee54-4aab-bceb-7b26c1cbfb5e,3,Red,0.0,Inactive,medium,very low,very low,very low,very low,VA,6/10/2018,110.0,6244.0,30377.0,3.0,0.0,Southeast,Urban,Short Term Acute Care Hospital,Hospital
1666,023d3c1a-ee54-4aab-bceb-7b26c1cbfb5e,3,Red,0.0,Inactive,medium,very low,very low,very low,very low,VA,6/10/2018,110.0,6244.0,30377.0,3.0,0.0,Southeast,Urban,Short Term Acute Care Hospital,Hospital
1667,023d3c1a-ee54-4aab-bceb-7b26c1cbfb5e,3,Red,0.0,Inactive,medium,very low,very low,very low,very low,VA,6/10/2018,110.0,6244.0,30377.0,3.0,0.0,Southeast,Urban,Short Term Acute Care Hospital,Hospital
1668,02421149-a050-4030-b5c0-b1613e5870f2,108,Orange,0.057,Active,medium,very low,very low,medium,low,CA,4/16/2018,218.0,9248.0,32113.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1669,02421149-a050-4030-b5c0-b1613e5870f2,108,Yellow,0.102,Active,medium,low,very low,medium,medium,CA,4/16/2018,218.0,9248.0,32113.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1670,02421149-a050-4030-b5c0-b1613e5870f2,108,Yellow,0.188,Active,medium,low,very low,medium,medium,CA,4/16/2018,218.0,9248.0,32113.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1671,02421149-a050-4030-b5c0-b1613e5870f2,109,Yellow,0.149,Active,medium,low,very low,medium,low,CA,4/16/2018,218.0,9248.0,32113.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1672,02421149-a050-4030-b5c0-b1613e5870f2,109,Yellow,0.051,Active,low,low,very low,low,medium,CA,4/16/2018,218.0,9248.0,32113.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1673,02421149-a050-4030-b5c0-b1613e5870f2,111,Red,0.067,Active,low,very low,very low,low,low,CA,4/16/2018,218.0,9248.0,32113.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1674,02421149-a050-4030-b5c0-b1613e5870f2,93,Orange,0.075,Active,medium,low,very low,medium,low,CA,4/16/2018,218.0,9248.0,32113.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1675,02421149-a050-4030-b5c0-b1613e5870f2,93,Yellow,0.083,Active,medium,very low,very low,medium,high,CA,4/16/2018,218.0,9248.0,32113.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1676,02421149-a050-4030-b5c0-b1613e5870f2,93,Orange,0.145,Active,medium,very low,very low,medium,very low,CA,4/16/2018,218.0,9248.0,32113.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1677,02421149-a050-4030-b5c0-b1613e5870f2,93,Orange,0.065,Active,medium,very low,very low,very low,high,CA,4/16/2018,218.0,9248.0,32113.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1678,02421149-a050-4030-b5c0-b1613e5870f2,93,Orange,0.1,Active,medium,very low,very low,low,very low,CA,4/16/2018,218.0,9248.0,32113.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1687,03806485-a449-47f9-8bb1-7d5f5f66e6c3,2,Red,0.0,Inactive,low,very low,very low,very low,very low,CA,4/30/2017,106.0,3642.0,35095.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1688,03806485-a449-47f9-8bb1-7d5f5f66e6c3,2,Red,0.0,Inactive,low,very low,very low,very low,very low,CA,4/30/2017,106.0,3642.0,35095.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1689,03806485-a449-47f9-8bb1-7d5f5f66e6c3,2,Red,0.0,Inactive,low,very low,very low,very low,very low,CA,4/30/2017,106.0,3642.0,35095.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1690,03806485-a449-47f9-8bb1-7d5f5f66e6c3,2,Red,0.0,Inactive,low,very low,very low,very low,very low,CA,4/30/2017,106.0,3642.0,35095.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1691,03806485-a449-47f9-8bb1-7d5f5f66e6c3,0,Red,0.0,Inactive,low,very low,very low,very low,very low,CA,4/30/2017,106.0,3642.0,35095.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1692,03806485-a449-47f9-8bb1-7d5f5f66e6c3,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,CA,4/30/2017,106.0,3642.0,35095.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1693,03806485-a449-47f9-8bb1-7d5f5f66e6c3,0,Red,0.0,Inactive,low,very low,very low,very low,very low,CA,4/30/2017,106.0,3642.0,35095.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1694,03806485-a449-47f9-8bb1-7d5f5f66e6c3,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,CA,4/30/2017,106.0,3642.0,35095.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1695,03806485-a449-47f9-8bb1-7d5f5f66e6c3,0,Red,0.0,Inactive,low,very low,very low,very low,very low,CA,4/30/2017,106.0,3642.0,35095.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1696,03806485-a449-47f9-8bb1-7d5f5f66e6c3,0,Red,0.0,Inactive,low,very low,very low,very low,very low,CA,4/30/2017,106.0,3642.0,35095.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1697,03806485-a449-47f9-8bb1-7d5f5f66e6c3,0,Red,0.0,Inactive,low,very low,very low,very low,very low,CA,4/30/2017,106.0,3642.0,35095.0,4.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1698,04428f8b-fe89-4cc6-a399-7d42c314c45e,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,NM,2/13/2017,184.0,8857.0,56813.0,4.0,0.0,Southwest,Rural,Short Term Acute Care Hospital,Hospital
1699,04428f8b-fe89-4cc6-a399-7d42c314c45e,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,NM,2/13/2017,184.0,8857.0,56813.0,4.0,0.0,Southwest,Rural,Short Term Acute Care Hospital,Hospital
1700,04428f8b-fe89-4cc6-a399-7d42c314c45e,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,NM,2/13/2017,184.0,8857.0,56813.0,4.0,0.0,Southwest,Rural,Short Term Acute Care Hospital,Hospital
1701,04428f8b-fe89-4cc6-a399-7d42c314c45e,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,NM,2/13/2017,184.0,8857.0,56813.0,4.0,0.0,Southwest,Rural,Short Term Acute Care Hospital,Hospital
1702,04428f8b-fe89-4cc6-a399-7d42c314c45e,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,NM,2/13/2017,184.0,8857.0,56813.0,4.0,0.0,Southwest,Rural,Short Term Acute Care Hospital,Hospital
1703,04428f8b-fe89-4cc6-a399-7d42c314c45e,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,NM,2/13/2017,184.0,8857.0,56813.0,4.0,0.0,Southwest,Rural,Short Term Acute Care Hospital,Hospital
1704,04428f8b-fe89-4cc6-a399-7d42c314c45e,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,NM,2/13/2017,184.0,8857.0,56813.0,4.0,0.0,Southwest,Rural,Short Term Acute Care Hospital,Hospital
1705,04428f8b-fe89-4cc6-a399-7d42c314c45e,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,NM,2/13/2017,184.0,8857.0,56813.0,4.0,0.0,Southwest,Rural,Short Term Acute Care Hospital,Hospital
1706,04428f8b-fe89-4cc6-a399-7d42c314c45e,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,NM,2/13/2017,184.0,8857.0,56813.0,4.0,0.0,Southwest,Rural,Short Term Acute Care Hospital,Hospital
1707,04428f8b-fe89-4cc6-a399-7d42c314c45e,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,NM,2/13/2017,184.0,8857.0,56813.0,4.0,0.0,Southwest,Rural,Short Term Acute Care Hospital,Hospital
1708,04428f8b-fe89-4cc6-a399-7d42c314c45e,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,NM,2/13/2017,184.0,8857.0,56813.0,4.0,0.0,Southwest,Rural,Short Term Acute Care Hospital,Hospital
1709,04d6c1c5-f95b-4492-8be3-f586452a4bdb,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,CA,10/9/2019,254.0,7691.0,22910.0,5.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1710,04d6c1c5-f95b-4492-8be3-f586452a4bdb,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,CA,10/9/2019,254.0,7691.0,22910.0,5.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1711,04d6c1c5-f95b-4492-8be3-f586452a4bdb,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,CA,10/9/2019,254.0,7691.0,22910.0,5.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1712,04d6c1c5-f95b-4492-8be3-f586452a4bdb,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,CA,10/9/2019,254.0,7691.0,22910.0,5.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1713,04d6c1c5-f95b-4492-8be3-f586452a4bdb,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,CA,10/9/2019,254.0,7691.0,22910.0,5.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1714,04d6c1c5-f95b-4492-8be3-f586452a4bdb,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,CA,10/9/2019,254.0,7691.0,22910.0,5.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1715,04d6c1c5-f95b-4492-8be3-f586452a4bdb,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,CA,10/9/2019,254.0,7691.0,22910.0,5.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1716,04d6c1c5-f95b-4492-8be3-f586452a4bdb,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,CA,10/9/2019,254.0,7691.0,22910.0,5.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1717,04d6c1c5-f95b-4492-8be3-f586452a4bdb,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,CA,10/9/2019,254.0,7691.0,22910.0,5.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1718,04d6c1c5-f95b-4492-8be3-f586452a4bdb,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,CA,10/9/2019,254.0,7691.0,22910.0,5.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1719,04d6c1c5-f95b-4492-8be3-f586452a4bdb,0,Red,0.0,Inactive,very low,very low,very low,very low,very low,CA,10/9/2019,254.0,7691.0,22910.0,5.0,0.0,West,Urban,Short Term Acute Care Hospital,Hospital
1720,051c88f9-f3ca-4677-b652-e9e844a1d188,0,Red,0.0,Inactive,medium,very low,very low,very low,very low,VA,6/18/2018,330.0,15921.0,195363.0,5.0,0.0,Southeast,Urban,Short Term Acute Care Hospital,Hospital
1721,051c88f9-f3ca-4677-b652-e9e844a1d188,0,Red,0.0,Inactive,medium,very low,very low,very low,very low,VA,6/18/2018,330.0,15921.0,195363.0,5.0,0.0,Southeast,Urban,Short Term Acute Care Hospital,Hospital
1722,051c88f9-f3ca-4677-b652-e9e844a1d188,0,Red,0.0,Inactive,medium,very low,very low,very low,very low,VA,6/18/2018,330.0,15921.0,195363.0,5.0,0.0,Southeast,Urban,Short Term Acute Care Hospital,Hospital
1723,051c88f9-f3ca-4677-b652-e9e844a1d188,0,Red,0.0,Inactive,medium,very low,very low,very low,very low,VA,6/18/2018,330.0,15921.0,195363.0,5.0,0.0,Southeast,Urban,Short Term Acute Care Hospital,Hospital
1724,051c88f9-f3ca-4677-b652-e9e844a1d188,0,Red,0.0,Inactive,medium,very low,very low,very low,very low,VA,6/18/2018,330.0,15921.0,195363.0,5.0,0.0,Southeast,Urban,Short Term Acute Care Hospital,Hospital
1725,051c88f9-f3ca-4677-b652-e9e844a1d188,0,Red,0.0,Inactive,low,very low,very low,very low,very low,VA,6/18/2018,330.0,15921.0,195363.0,5.0,0.0,Southeast,Urban,Short Term Acute Care Hospital,Hospital
1726,051c88f9-f3ca-4677-b652-e9e844a1d188,0,Red,0.0,Inactive,medium,very low,very low,very low,very low,VA,6/18/2018,330.0,15921.0,195363.0,5.0,0.0,Southeast,Urban,Short Term Acute Care Hospital,Hospital
1727,051c88f9-f3ca-4677-b652-e9e844a1d188,0,Red,0.0,Inactive,medium,very low,very low,very low,very low,VA,6/18/2018,330.0,15921.0,195363.0,5.0,0.0,Southeast,Urban,Short Term Acute Care Hospital,Hospital
